title,metascore,userscore,link,cast,details,num_seasons,user_rating,num_ratings,keywords,runtime,synopsis,plot
A Discovery of Witches,66,7.2,https://www.imdb.com/title/tt2177461/?ref_=adv_li_tt,"['Matthew Goode', 'Teresa Palmer', 'Valarie Pettiford']","['UK', 'English', 'University of Oxford, Oxford, Oxfordshire, England, UK', 'Bad Wolf', 'Color']",1,8.2,18029.0,"['witch', 'vampire', 'magic', 'propaganda', 'russophobia', 'drama', 'fantasy', 'romance']",60 min,"In a world where witches, vampires and daemons live discreetly among humans, Diana Bishop is the last in one long line of distinguished witches. Unwilling to embrace her heritage she has immersed herself in her career as a historian. Her particular interest is alchemy and she visits Oxford to research some of Elias Ashmole's papers. She requests Ashmole 782 and as soon as she receives it she knows there is something uncanny about it; when she opens it she is shocked. She learns that 782 has been presumed lost for a very long time and that each species of Creature desires it. She is besieged and threatened and knows that, to protect herself, she must uncover all the mysteries of 782. She encounters the enigmatic vampire, Matthew Clairmont, who offers to help her; their mutual attraction is immediate, undeniable and inexplicable because they both know that witches and vampires are not supposed to trust each other. Diana makes her choice and accepts Matthew's help. This precipitates them...","Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires."
A Different World,0,0,https://www.imdb.com/title/tt0092339/?ref_=adv_li_tt,"['Bill Cosby', 'Lisa Bonet', 'Kadeem Hardison', 'Jasmine Guy']","['USA', 'English', 'Universal Studios - 100 Universal City Plaza, Universal City, California, USA', 'Bill Cosby', 'Stereo', 'Color']",6,6.9,5026.0,"['sitcom', 'historically black college', 'african american', 'university', 'college', 'comedy']",30 min,A group of students at a historically Black university struggle to make it through college.,A group of students at a historically Black university struggle to make it through college.
A Gifted Man ,62,7.0,https://www.imdb.com/title/tt1820742/?ref_=adv_li_tt,"['Susannah Grant', 'Patrick Wilson', 'Jennifer Ehle', 'Margo Martindale']","['USA', 'English', 'Silvercup Studios East, Long Island City, Queens, New York City, New York, USA', 'Baer Bones', 'Dolby Digital', 'Color']",2,7.1,7124.0,"['doctor', 'hospital', 'nurse', 'medicine', 'latex gloves', 'drama', 'fantasy']",0,"Michael Holt is a successful doctor who has a thriving practice. One day he runs into his ex-wife Anna, also a doctor. They spend some time together. He later learns that she died before he met her. He goes to her memorial and learns she was working in an inner-city clinic, and when he goes there, he can't help but assist. Before long, people from the clinic come to see him. He continues to see Anna, who tries to get him to do good. He decides to work at the clinic as well as at his practice.",Centers on an ultra-competitive surgeon whose life is changed forever when his ex-wife dies and begins teaching him what life is all about from the here-after.
A Haunting,0,8.8,https://www.imdb.com/title/tt0484243/?ref_=adv_li_tt,"['Anthony D. Call', 'Kelley Davis', 'Scott Rollins']","['New Dominion Pictures', 'USA', 'English', 'Hampton Roads, Virginia, USA', 'New Dominion Pictures', 'Color']",10,8.0,2694.0,"['paranormal phenomena', 'horror host', 'male horror host', 'usa horror host', 'usa male horror host', 'documentary', 'drama', 'history', 'horror', 'mystery', 'talk-show', 'thriller']",0,"An American paranormal anthology previewing stories told by the victims. Victims tell their terrifing encounters with the paranormal. This show contains narrations, frightening reanactments, & religious content.","An American paranormal anthology previewing stories told by the victims. Victims tell their terrifing encounters with the paranormal. This show contains narrations, frightening reanactments, & religious content."
A Bit of Fry and Laurie,0,8.9,https://www.imdb.com/title/tt0101049/?ref_=adv_li_tt,"['Stephen Fry', 'Hugh Laurie', 'Deborah Norton']","['UK', 'English', 'British Broadcasting Corporation (BBC)', 'Color']",4,8.3,8423.0,"['alternative comedy', 'social satire', 'singing', 'song', 'musician', 'comedy']",30 min,"As the title suggests, ""A Bit of Fry and Laurie"" is less of a specific format than a 'coat-hanger' for short sketches, starring the comical duo in various, recurring or unique roles: Stephen Fry, the sophisticated giant who usually plays the smug one, and comparatively small Hugh Laurie, usually playing the patsy.",Comedy sketches written and performed by renowned duo Stephen Fry and Hugh Laurie.
A Million Little Things,51,5.9,https://www.imdb.com/title/tt7608248/?ref_=adv_li_tt,"['D.J. Nash', 'David Giuntoli', 'Romany Malco', 'Allison Miller']","['Disney ABC Press', 'USA', 'English', 'Vancouver, British Columbia, Canada', 'Fee-Fi-Fo Films', 'Stereo', 'Color']",2,7.9,5201.0,"['suicide', 'friendship', 'love', 'family problems', 'friend', 'comedy', 'drama', 'mystery', 'romance']",43 min,A group of friends become motivated to living fuller lives after the unexpected death of a close friend.,A group of friends become motivated to living fuller lives after the unexpected death of a close friend.
A Pup Named Scooby-Doo,0,0,https://www.imdb.com/title/tt0094531/?ref_=adv_li_tt,"['Mark L. Taylor', 'Don Messick', 'Casey Kasem']","['Boomerang', 'USA', 'English', 'Hanna-Barbera Productions', 'Mono', 'Color']",4,6.8,4112.0,"['1980s', '1990s', 'child protagonist', 'child gang', 'kid gang', 'animation', 'comedy', 'family', 'mystery']",30 min,"A pre-teen version of Scooby Doo, with a pint-sized version of the title character.","A pre-teen version of Scooby Doo, with a pint-sized version of the title character."
A to Z,66,6.8,https://www.imdb.com/title/tt3216682/?ref_=adv_li_tt,"['Ben Queen', 'Ben Feldman', 'Cristin Milioti', 'Henry Zebrowski']","['USA', 'English', 'Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA', 'BQ Productions', 'Stereo', 'Color']",1,6.7,5393.0,"['comedy', 'romance']",24 min,"A chronicle of Andrew and Zelda's relationship, which lasts for eight months, three weeks, five days, and one hour.","A chronicle of Andrew and Zelda's relationship, which lasts for eight months, three weeks, five days, and one hour."
A Shot at Love With Tila Tequila,0,0,https://www.imdb.com/title/tt1105170/?ref_=adv_li_tt,"['Riley McCormick', 'SallyAnn Salsano', 'Tila Tequila', 'Amanda Ireton', 'Raye Richards']","['MTV', 'USA', 'English', '495 Productions', 'Color']",2,3.4,1878.0,"['bisexual', 'game-show', 'reality-tv', 'romance']",0,A dating elimination show where contestants try to win the heart of Tila Tequila.,A dating elimination show where contestants try to win the heart of Tila Tequila.
A Touch of Frost,0,0,https://www.imdb.com/title/tt0108967/?ref_=adv_li_tt,"['David Jason', 'Bruce Alexander', 'John Lyons']","['UK', 'English', 'Carlton Lanes Shopping Centre, Castleford, West Yorkshire, England, UK', 'ITV Productions', 'Dolby', 'Color']",15,7.9,5562.0,"['cop', 'police', 'unorthodox', 'gritty', '1990s', 'crime', 'drama', 'mystery']",105 min,"DI Frost is an old-school no-nonsense copper who believes in traditional policing methods. Assisted by several officers including the ever-able DS Toolan, Frost uses what he knows about the street to find solutions to complex crimes as a member of the Denton CID. His home life is complex as he cares for his wife until her death and then leads a quiet bachelor's life, with only the occasional attempt at a relationship with another woman. His daily nemesis however is the Station's commander, Supt. Mullett, who is constantly worrying about budgets, staffing levels and crime statistics. He doesn't appreciate DI Frost's rough and ready manner, which doesn't stop him from trotting him out - with his George Cross, Britain's highest civilian honour for gallantry - when it suits him.","DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized and disrespectful, he attracts trouble like a magnet."
A.D.: The Bible Continues,55,5.3,https://www.imdb.com/title/tt4074084/?ref_=adv_li_tt,"['Richard Coyle', 'Vincent Regan', 'Adam Levy']","['Official Site', 'USA', 'English', 'United Artists Media Group (UAMG)', 'Stereo', 'Color']",1,7.5,3977.0,['drama'],44 min,"A.D. picks up where the smash hit, ""The Bible,"" left off, continuing the greatest story ever told and exploring the exciting and inspiring events that followed the Crucifixion of Christ. As most of the world knows, the Crucifixion was only the beginning of the story. The immediate aftermath of Christ's death had a massive impact on his disciples, his mother Mary, and key political and religious leaders of the era, completely altering the entire world in an instant. Watch as the disciples struggle to survive and share their beliefs, guiding us from the sorrow of Christ's ultimate sacrifice to the awe-inspiring wonder of the Resurrection and beyond. From Executive Producers Roma Downey and Mark Burnett comes an uplifting spiritual journey through the later chapters of biblical history.",Follows the book of ACTS. Shows the complete message of Christ and the transformation of Saul to Paul and how the high priest of Judea does not believe in what has taken place after the Crucifixion of Christ.
A Very English Scandal,84,5.8,https://www.imdb.com/title/tt6938856/?ref_=adv_li_tt,"['Hugh Grant', 'Ben Whishaw', 'Alex Jennings']","['UK', 'English', 'England, UK', 'Amazon Studios', 'Color']",1,7.8,6652.0,"['gay lover', 'member of parliament', 'politics', 'tv mini series', 'based on book', 'biography', 'comedy', 'crime', 'drama']",180 min,"What is known as the Thorpe affair, centered on the at the time clandestine homosexual affair between Liberal MP and later Liberal Party leader Jeremy Thorpe and stable boy Norman Scott, that affair when sodomy was still illegal in Britain, is the main feature of the story presented. The story culminates in 1979 with Jeremy put on trial for conspiracy and incitement to murder, the attempt on Norman's life all in an effort to rid him from Jeremy's life in his aspiration to become British Prime Minister at whatever cost, part of that cost being to remain in the closet despite having men on the side throughout his adult life. The imbalance between Jeremy and Norman both during their relationship and in their adversarial battle after the end of that relationship is also shown, older, ambitious Jeremy, from a proper English background, part of the establishment, and younger Norman, from the disadvantaged class, he who also suffered from clinical psychological issues, having nothing to lose...",British Liberal Party leader Jeremy Thorpe is accused of conspiracy to murder his gay ex-lover and forced to stand trial in 1979.
About A Boy,67,7.6,https://www.imdb.com/title/tt2666270/?ref_=adv_li_tt,"['Jason Katims', 'David Walton', 'Benjamin Stockham', 'Al Madrigal']","['USA', 'English', 'True Jack Productions', 'Stereo', 'Color']",2,7.5,7744.0,"['based on novel', 'comedy', 'drama', 'romance']",22 min,"Will Freeman lives a charmed existence. After writing a hit song, he was granted a life of free time, free love and freedom from financial woes. He's single, unemployed and loving it. So imagine his surprise when Fiona, a needy single mom and her oddly charming 11-year-old son, Marcus, move in next door and disrupt his perfect world. When Marcus begins dropping by his home unannounced, Will's not so sure about being a kid's new best friend, until, of course, Will discovers that women find single dads irresistible. That changes everything and a deal is struck: Marcus will pretend to be Will's son and, in return, Marcus is allowed to chill at Will's house, play ping-pong and gorge on steaks, something his very vegan mom would never allow. Before he realizes it, Will starts to enjoy the visits and even finds himself looking out for the kid. In fact, this newfound friendship may very well teach him a thing or two that he never imagined possible - about himself and caring for others.","Will Freeman lives a charmed existence. After writing a hit song, he was granted a life of free time, free love and freedom from financial woes. He's single, unemployed and loving it. So "
A.P. Bio,59,6.7,https://www.imdb.com/title/tt6461726/?ref_=adv_li_tt,"[""Michael Patrick O'Brien"", 'Nick Peine', 'Jacob Houston', 'Jean Villepique']","['USA', 'English', 'CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA', 'Broadway Video', 'Stereo', 'Color']",2,7.2,7123.0,"['school', 'high school', 'revenge', 'biology class', 'incompetent school principal', 'comedy']",21 min,"A former philosophy professor who takes a job teaching AP biology, uses his students to get back at the people in his life who have wronged him.","A former philosophy professor who takes a job teaching AP biology, uses his students to get back at the people in his life who have wronged him."
According to Jim,0,8.3,https://www.imdb.com/title/tt0285351/?ref_=adv_li_tt,"['Tracy Newman', 'Jonathan Stark', 'Jim Belushi', 'Courtney Thorne-Smith', 'Larry Joe Campbell']","['ABC [United States]', 'USA', 'English', 'CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA', 'Newman/Stark', 'Dolby Digital', 'Color']",8,6.4,32300.0,"['21th century', '2000s', 'suburb', 'sports fan', 'parenting', 'comedy', 'romance']",30 min,"A television show centered around a macho everyman, his loving wife, and their three precocious children.","A television show centered around a macho everyman, his loving wife, and their three precocious children."
Absentia,59,6.5,https://www.imdb.com/title/tt6794990/?ref_=adv_li_tt,"['Matthew Cirulnick', 'Gaia Violo', 'Stana Katic', 'Patrick Heusinger', 'Cara Theobold']","['Official Facebook', 'Israel', 'English', 'Sofia, Bulgaria', 'Masha Productions', 'Stereo', 'Color']",2,7.3,7656.0,"['slasher', 'exploitation', 'crime', 'drama', 'mystery', 'thriller']",60 min,"She disappeared. No one heard from her for six years. No one knows what happened to her, not even her. An FBI Agent tracking a Boston serial killer vanishes, and is declared dead. Six years later, she is found in a cabin in the woods, with no memory of what happened during the time she went missing. She comes back to a husband who has remarried, and whose wife is raising her son. She will have to navigate in her new reality, and she will soon find herself implicated in a new series of murders.","After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders."
Accidentally on Purpose,50,6.2,https://www.imdb.com/title/tt1441096/?ref_=adv_li_tt,"['Claudia Lonow', 'Jenna Elfman', 'Jon Foster', 'Ashley Jensen']","['CBS [United States]', 'USA', 'English', 'BermanBraun', 'Stereo', 'Color']",1,6.3,6243.0,"['comedy', 'romance']",22 min,"Billie, a woman in her 30's, wants to settle down and have a family. When she tells her boyfriend James this, he tells her he doesn't want that, so they break up. She gets drunk and hooks up with a guy named Zack. Upon discovering that she's pregnant, he moves in to try and help her.","Billie, a woman in her 30's, wants to settle down and have a family. When she tells her boyfriend James this, he tells her he doesn't want that, so they break up. She gets drunk and hooks "
Ace of Cakes,0,0,https://www.imdb.com/title/tt0842903/?ref_=adv_li_tt,"['Erica Reid Harrison', 'Duff Goldman', 'Geoffry Manthorne']","['Food Network', 'USA', 'English', 'Baltimore, Maryland, USA', 'Authentic Entertainment', 'Color']",10,7.2,1159.0,"['cake', 'chef', 'baltimore maryland', 'food', 'fondant', 'reality-tv']",21 min,"Chef and owner of Charm City Cakes in Baltimore, Maryland, Duff Goldman, and his crew of decorators attempt to create amazing and awe-inspiring cakes for their clients each week.","Chef and owner of Charm City Cakes in Baltimore, Maryland, Duff Goldman, and his crew of decorators attempt to create amazing and awe-inspiring cakes for their clients each week."
Africa,85,8.8,https://www.imdb.com/title/tt2571774/?ref_=adv_li_tt,"['David Attenborough', 'Simon Blakeney', 'James Aldred']","['UK', 'English', 'BBC Bristol', 'Dolby Digital', 'Color']",1,8.9,11680.0,"['africa', 'nature documentary', 'nature', 'tv mini series', 'documentary']",360 min,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife."
Adventure Time,0,7.8,https://www.imdb.com/title/tt1305826/?ref_=adv_li_tt,"['Pendleton Ward', 'John DiMaggio', 'Jeremy Shada', 'Tom Kenny']","['Hulu', 'USA', 'English', 'Frederator Studios', 'Stereo', 'Color']",10,8.6,66059.0,"['cult tv', 'boy', 'dog', 'human', 'castle', 'animation', 'action', 'adventure', 'comedy', 'family', 'fantasy', 'sci-fi']",11 min,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other.","A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other."
Afro Samurai,0,6.8,https://www.imdb.com/title/tt0465316/?ref_=adv_li_tt,"['Takashi Okazaki', 'Samuel L. Jackson', 'Phil LaMarr', 'Yuri Lowenthal']","['G.D.H. [Japan] (English)', 'USA', 'English', 'Fuji Television Network', 'Stereo', 'Color']",1,7.7,13735.0,"['barkeeper', 'based on comic book', 'cellular phone', 'firework', 'role playing game', 'animation', 'action', 'adventure', 'drama', 'fantasy']",26 min,"In a strange world of swords, guns and kimonos, cell phones and cybernetic body parts - a black samurai, Afro Samurai, seeks revenge from a man named Justice who killed his father and also happens to be the #1 fighter in the world. After Afro earns the rank of #2 fighter needed to challenge the #1, he starts his lonely walk to revenge. He faces bounty hunters, bar thugs and fanatical monks - all of whom seem to have clues to the whereabouts of Justice and all of whom covet the position of #2 for themselves. Also along the way we are introduced to Afro's chatty companion - the light hearted Ninja Ninja.",A Black samurai goes on a mission to avenge the wrongful death of his father in a futuristic feudal Japan.
After Life,57,8.0,https://www.imdb.com/title/tt8398600/?ref_=adv_li_tt,"['Ricky Gervais', 'Tom Basden', 'Tony Way']","['Official Netflix', 'UK', 'English', 'Stereo', 'Color']",2,8.5,37409.0,"['comedy', 'drama']",30 min,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude taking his old world by storm.","After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude taking his old world by storm."
Agatha Christie's Marple,0,0,https://www.imdb.com/title/tt1734537/?ref_=adv_li_tt,"['Geraldine McEwan', 'Julia McKenzie', 'Stephen Churchett']","['UK', 'English', 'Eastbourne, East Sussex, England, UK', 'Chorion', 'Stereo', 'Color']",6,7.8,4718.0,"['three word series title', 'surname in series title', 'author name in series title', 'murder', 'village', 'crime', 'drama', 'mystery']",93 min,"Based on Dame Agatha Christie's crime novels and short stories, the show follows the adventures of Miss Jane Marple, an elderly spinster living in the quiet little village of St Mary Mead. During her many visits to friends and relatives in other villages, Miss Marple often stumbles upon mysterious murders which she helps solve. Although the police are sometimes reluctant to accept Miss Marple's help, her reputation and unparalleled powers of observation eventually win them over.","An elderly spinster living in the village of St. Mary Mead, helps her friends and relatives solve mysterious murders."
Against The Wall,59,8.0,https://www.imdb.com/title/tt1836237/?ref_=adv_li_tt,"['Annie Brunner', 'Rachael Carpani', 'Kathy Baker', 'Marisa Ramirez']","['USA', 'English', 'Universal Cable Productions', 'Color']",1,7.3,1712.0,"['chicago illinois', 'internal affairs', 'brother sister relationship', 'police', 'crime', 'drama']",60 min,A family drama set in Chicago following policewoman who causes a rift with her three cop brothers when she decides to join the department's Internal Affairs division.,A family drama set in Chicago following policewoman who causes a rift with her three cop brothers when she decides to join the department's Internal Affairs division.
Agent X,43,5.5,https://www.imdb.com/title/tt3499120/?ref_=adv_li_tt,"['W. Blake Herron', 'Sharon Stone', 'Gerald McRaney', 'Jeff Hephner']","['USA', 'English', 'Vancouver, British Columbia, Canada', 'Beacon Pictures', 'Stereo', 'Color']",1,6.2,3899.0,"['action', 'drama']",60 min,"Hidden from the view of the public - and even from the President - there is a top secret agent who is trained and ready to serve, deployed only at the careful discretion of the Vice President.","Hidden from the view of the public - and even from the President - there is a top secret agent who is trained and ready to serve, deployed only at the careful discretion of the Vice President."
Afterlife,0,0,https://www.imdb.com/title/tt0435937/?ref_=adv_li_tt,"['Stephen Volk', 'Lesley Sharp', 'Andrew Lincoln', 'Kate Duchêne']","['ITV [UK]', 'UK', 'English', 'Bristol, England, UK', 'Clerkenwell Films', 'Stereo', 'Color']",2,7.9,1778.0,"['supernatural power', 'psychic', 'drama', 'horror', 'mystery', 'thriller']",47 min,University lecturer Robert Bridge (Andrew Lincoln) becomes involved in a series of supernatural events surrounding medium Alison Mundy (Lesley Sharp) in this chilling TV series.,University lecturer Robert Bridge (Andrew Lincoln) becomes involved in a series of supernatural events surrounding medium Alison Mundy (Lesley Sharp) in this chilling TV series.
Air Emergency,0,0,https://www.imdb.com/title/tt0386950/?ref_=adv_li_tt,"['Bernard Vaillot', 'Andre Barro', 'Greg Gransden', 'Stephen Bogaert', 'Jonathan Aris', 'Gregory Feith']","['Canada', 'English', 'Toronto, Ontario, Canada', 'Cineflix Productions', 'Color']",20,8.9,3292.0,"['reenactment', 'documentary', 'crime', 'drama', 'history', 'reality-tv']",0,"Major real-life air disasters are depicted in this TV series. Each episode features a detailed dramatized reconstruction of the incident based on cockpit voice recorders and air traffic control transcripts, as well as eyewitnesses recounts and interviews with aviation experts. Sometimes, interviews with investigators who dealt with the disaster or even actual footage are featured.","Dramatized reconstruction of real-life air disasters, along with interviews with aviation experts and eyewitnesses."
Airwolf,0,0,https://www.imdb.com/title/tt0086662/?ref_=adv_li_tt,"['Donald P. Bellisario', 'Jan-Michael Vincent', 'Alex Cord', 'Ernest Borgnine']","['Official soundtrack site', 'USA', 'English', 'Monument Valley, Arizona, USA', 'Belisarius Productions', 'Mono', 'Color']",3,6.8,8673.0,"['female gunfighter', 'vietnam war veteran', 'helicopter', 'cult tv', 'action hero', 'action', 'adventure', 'sci-fi']",60 min,"Airwolf is the most sophisticated helicopter imaginable (flies halfway round the world, outruns jet planes). Stringfellow Hawke is its pilot, essentially blackmailing a secret US agency into finding his brother (lost in Vietnam) while he flies dangerous assignments for ""The Firm.""","As part of a deal with an intelligence agency to look for his missing brother, a renegade pilot goes on missions with an advanced battle helicopter."
Air Gear,0,8.5,https://www.imdb.com/title/tt0953916/?ref_=adv_li_tt,"['Oh! Great', 'Kenta Kamakari', 'Mariya Ise', 'Chris Patton']","['Official site [Japan]', 'USA', 'English', 'Marvelous Entertainment', 'Color']",1,7.3,1014.0,"['older actors younger roles', 'orphan', 'gang', 'roller skating', 'roller skate', 'animation', 'action', 'comedy', 'sport']",25 min,"A couple of orphans form a gang called Storm Riders and try to become top dogs in the competitive world of professional and street sport that involves Air Treks, futuristic motorized rollerblades that can achieve super speed.","A couple of orphans form a gang called Storm Riders and try to become top dogs in the competitive world of professional and street sport that involves Air Treks, futuristic motorized rollerblades that can achieve super speed."
Aladdin,0,7.0,https://www.imdb.com/title/tt0105935/?ref_=adv_li_tt,"['Scott Weinger', 'Linda Larkin', 'Dan Castellaneta']","['USA', 'English', 'Walt Disney Television', 'Stereo', 'Color']",3,7.3,8038.0,"['princess', 'aladdin', 'hero', 'monkey', 'parrot', 'animation', 'adventure', 'comedy', 'family', 'fantasy', 'romance']",30 min,"While Aladdin may still be living on the streets of Agrabah, he is now engaged to the beautiful and spirited Princess Jasmine. ""Al"" and Jasmine, along with monkey sidekick Abu, the Magic Carpet, the fast-talking, shape-shifting Genie, and Iago the short-tempered parrot continue their adventures exploring the world and protecting Agrabah.","Aladdin, the clever hero of Agrabah, continues his adventures with the help of his fiancee Princess Jasmine, his pet monkey Abu, Magic Carpet, Iago the greedy parrot, and of course his best friend the semi-cosmic Genie."
Alcatraz,62,6.6,https://www.imdb.com/title/tt1728102/?ref_=adv_li_tt,"['Steven Lilien', 'Elizabeth Sarnoff', 'Bryan Wynbrandt', 'Sarah Jones', 'Jorge Garcia', 'Jonny Coyne']","['USA', 'English', 'North Shore Studios, North Vancouver, British Columbia, Canada', 'Bonanza Productions', 'Dolby Digital', 'Color']",1,7.0,37495.0,"['alcatraz', 'prison', 'latex gloves', 'prison island', 'san francisco california', 'action', 'crime', 'drama', 'mystery', 'thriller']",60 min,"Switching between eras, Alcatraz focuses on the Alcatraz prison, which was shut down in 1963 due to unsafe conditions for its prisoners and guards. The show's premise is that both the prisoners and the guards disappeared in 1963 and have abruptly reappeared in modern-day San Francisco, where they are being tracked down by a government agency.","In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them."
Alexa & Katie,0,0,https://www.imdb.com/title/tt6916746/?ref_=adv_li_tt,"['Heather Wordham', 'Paris Berelc', 'Isabel May', 'Jolie Jenkins']","['Official site', 'USA', 'English', 'Stereo', 'Color']",3,7.3,1622.0,['comedy'],25 min,"When Alexa and Katie graduate middle school and go to high school, they're ready for anything. But when Alexa is diagnosed with cancer, it becomes a little bit harder. But with each other's help, they can navigate high school and survive in the process.",Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.
"Alex, Inc.",49,4.6,https://www.imdb.com/title/tt6466948/?ref_=adv_li_tt,"['Matt Tarses', 'Zach Braff', 'Tiya Sircar', 'Hillary Anne Matthews']","['Official site', 'USA', 'English', 'New York, USA', 'Two Soups Productions', 'Stereo', 'Color']",1,5.7,1694.0,['comedy'],30 min,"Alex, who is in his mid-30s with a wife and two kids, makes the crazy decision to quit his good job and dive into the brave new world of starting a business.","Alex, who is in his mid-30s with a wife and two kids, makes the crazy decision to quit his good job and dive into the brave new world of starting a business."
Alfred J. Kwak,0,0,https://www.imdb.com/title/tt0098737/?ref_=adv_li_tt,"['Ryan van den Akker', 'Frits Lambrechts', 'Herman van Veen']","['Netherlands', 'Dutch', 'Telecable Benelux B.V.', 'Dolby Stereo', 'Color']",2,7.9,2068.0,"['duck', 'acid rain', 'dragon', 'cowboy', 'bees', 'animation', 'family']",25 min,"Alfred J. Kwak is the son of Johan Sebastian and Anna Kwak. When their beloved home is disturbed by the development of a new theme park, his parents are forced to move (along with all of their children). When the family is on their way to the farm of an uncle of a very good friend, Henk de Mol, Alfred's parents and all of his siblings are the victims of a tragic car accident. Henk de Mol takes upon him the task of raising the little duck as he was his own son. In the years to come, Alfred experiences a lot of adventures.","After a horrific car accident takes the life of his parents and siblings, a young duckling is raised by his considerate uncle."
ALF,44,8.4,https://www.imdb.com/title/tt0090390/?ref_=adv_li_tt,"['Tom Patchett', 'Paul Fusco', ""Mihaly 'Michu' Meszaros"", 'Paul Fusco', 'Max Wright']","['USA', 'English', '708 Moreno Avenue, Brentwood, Los Angeles, California, USA', 'Alien Productions', 'Mono', 'Color']",4,7.4,28575.0,"['alien', '1990s', '1980s', 'fish out of water', 'outer space', 'comedy', 'family', 'sci-fi']",25 min,"The Tanner family is an average American family. One day, they discover that they have a visitor. He's small, he's furry, he's arrogant, and he's an alien from the planet Melmac. Unsure what to do, they name him ALF: Alien Life Form. Alf soon decides that as much as he misses his home planet, there's a lot to be said for Earth: the Tanners are willing to concede anything as long as he doesn't announce his presence. Oh yeah, the Tanners also have a cat, which looks rather tasty...",A furry alien wiseguy comes to live with the Tanner family after crashing into their garage.
Alias,76,8.1,https://www.imdb.com/title/tt0285333/?ref_=adv_li_tt,"['J.J. Abrams', 'Jennifer Garner', 'Ron Rifkin', 'Carl Lumbly']","['USA', 'English', 'U.S. Bank Tower - 633 W. Fifth Street, Downtown, Los Angeles, California, USA', 'Touchstone Television', 'Dolby Digital', 'Color']",5,7.6,42265.0,"['cia', 'double agent', 'terrorist', 'college', 'terrorist group', 'action', 'drama', 'mystery', 'sci-fi', 'thriller']",42 min,"Sydney Bristow is a young, athletic, college graduate who was recruited her freshman year as a Secret Agent for SD-6, a top-secret branch of the C.I.A. After a few years, after Sydney confides her lifestyle to her boyfriend, the evil head of SD-6, Arvin Sloan, has him killed. Sydney learns that SD-6 is part of a rogue international agency called the Alliance of 12, out to rule the world. She becomes a double agent, working with the real C.I.A. to bring down SD-6 with the assistance of her handler, Michael Vaughn, and her estranged father Jack Bristow, also a double agent. Along the way, Sydney fights various rival agents, rival terrorist groups, and traitors all the while keeping her cloak-and-dagger lifestyle a secret from her friends. (Season 1)","Sydney Bristow is an international spy recruited out of college, trained for espionage and self-defense."
Alfred Hitchcock Presents,0,0,https://www.imdb.com/title/tt0047708/?ref_=adv_li_tt,"['Alfred Hitchcock', 'Harry Tyler', 'John Williams']","['USA', 'English', 'Universal Studios - 100 Universal City Plaza, Universal City, California, USA', 'Alfred J. Hitchcock Productions', 'Mono', 'Black and White']",7,8.6,13085.0,"['death', 'black comedy', 'horror host', 'male horror host', 'usa horror host', 'crime', 'drama', 'mystery', 'thriller']",25 min,"Master of Suspense Sir Alfred Hitchcock presents several short stories. The stories are invariably surprising, often containing elements of horror, comedy, and mystery.","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not."
Alias Grace,81,7.0,https://www.imdb.com/title/tt1034007/?ref_=adv_li_tt,"['Sarah Gadon', 'Edward Holcroft', 'Rebecca Liddiard']","['Official site', 'Canada', 'English', 'Toronto, Ontario, Canada', 'Halfire Entertainment', 'Stereo', 'Color']",1,7.8,18755.0,"['triple f rated', 'irish', 'based on novel', 'tv mini series', 'title directed by female', 'biography', 'crime', 'drama', 'thriller']",60 min,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity.","In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity."
