title,metascore,userscore,link,cast,details,num_seasons,user_rating,num_ratings,keywords,runtime,synopsis,plot
Bruno,0,0,https://www.imdb.com/title/tt10186846/?ref_=adv_li_tt,"['Solvan Naim', 'Solvan Naim', 'Bruno', 'Sam Eliad']","['USA', 'English', 'New York City, New York, USA', 'Phiphen Pictures', 'Color']",1,7.7,1533.0,['comedy'],15 min,"This series follows a man and his beloved dog, Bruno, as they stroll through the streets of Bushwick, Brooklyn.","This series follows a man and his beloved dog, Bruno, as they stroll through the streets of Bushwick, Brooklyn."
Bubblegum Crisis,0,0,https://www.imdb.com/title/tt0088863/?ref_=adv_li_tt,"['Yoshiko Sakakibara', 'Kinuko Ômori', 'Michie Tomizawa']","['Japan', 'Japanese', 'Anime International Company (AIC)', 'Color']",1,7.5,1047.0,"['power armor', 'cyberpunk', 'mercenary', 'anime', 'tv mini series', 'animation', 'action', 'sci-fi']",25 min,"This eight-part OVA (Original Video Animation, or made-for-video) series is set in the giant megalopolis of MegaTokyo in the year 2033. The story chronicles the battles of four women in power armor against an evil mega-corporation called GENOM. BGC is one of the most popular series among fans of Japanese animation (""anime""), as well as fans of the cyberpunk genre.","A female mercenary team, armed with unique power armor suits, battle the forces of the corrupt mega-corporation, Genom in futuristic Tokyo."
Buck Rogers in the 25th Century,0,0,https://www.imdb.com/title/tt0078579/?ref_=adv_li_tt,"['Glen A. Larson', 'Leslie Stevens', 'Gil Gerard', 'Erin Gray', 'Felix Silla']","['USA', 'English', 'Tower of London, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA', 'Glen A. Larson Productions', 'Mono', 'Color']",2,6.9,6639.0,"['space opera', 'waking up in the future', 'buck rogers character', 'character name in series title', '25th century', 'action', 'adventure', 'sci-fi']",60 min,"In 1987, NASA astronaut William ""Buck"" Rogers is caught in a freak accident in deep space, causing his space shuttle Ranger 3 to be blown into an orbit that returns him to Earth - over 500 years later. The combination of gases that freezes him comes close to the formula commonly used in the 25th century for preservation, and his rescuers are able to revive him. In 2491, when Buck awakens from the freezing, Earth is recovering from a nuclear war and is coming under hostile attack by the Draconian Empire. In the second season, Buck has been assigned aboard the Searcher, a starship exploring the unknown reaches of space while searching for former Earth colonies that are scattered across the galaxy.",A 20th century astronaut emerges out of 500 years of suspended animation into a future time to become Earth's greatest hero.
Brothers,54,5.8,https://www.imdb.com/title/tt0185906/?ref_=adv_li_tt,"['Scott Grimes', 'Damian Lewis', 'Ron Livingston']","['HBO', 'USA', 'English', 'Ashdown Forest, East Sussex, England, UK', 'DreamWorks', 'Dolby Digital', 'Color']",1,9.5,324099.0,"['airborne troops', 'american abroad', 'u.s. soldier', 'american soldier', '20th century', 'action', 'drama', 'history', 'war']",594 min,"This is the story of ""E"" Easy Company, 506th Regiment of the 101st Airborne Division from their initial training starting in 1942 to the end of World War II. They parachuted behind enemy lines in the early hours of D-Day in support of the landings at Utah beach, participated in the liberation of Carentan and again parachuted into action during Operation Market Garden. They also liberated a concentration camp and were the first to enter Hitler's mountain retreat in Berchtesgaden. A fascinating tale of comradeship that is, in the end, a tale of ordinary men who did extraordinary things.","The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day."
Bullet in the Face ,59,8.2,https://www.imdb.com/title/tt1772157/?ref_=adv_li_tt,"['Max E. Williams', 'Neil Napier', 'Jessica Steen']","['Canada', 'English', 'Montréal, Québec, Canada', 'Independent Film Channel (IFC)', 'Color']",1,6.9,1070.0,"['tv mini series', 'action', 'comedy', 'crime', 'drama', 'thriller']",138 min,"It's a dystopian future in Brüteville City, where crime is running rampant due to a gangland styled war between rival mob bosses Johann Tannhauser and Racken. Gunter Vogler and Martine Mahler are two of Tannhauser's hit people. Sociopath Gunter kills for killing's sake. Martine, who is Tannhauser's girlfriend, is having an affair with Gunter. In a robbery gone wrong, Gunter is shot in the face and captured by the police. After recuperating, Gunter is convinced by Police Commissioner Eva Braden to work for them against Tannhauser, when she shows him that Martine was the one who purposefully shot him, probably on Tannhauser's orders. What is as distasteful to Gunter is that the face of one of the police detectives he killed in the botched robbery is transplanted onto him as part of his reconstructive surgery. Now masquerading as that detective, Gunter is partnered with overly sensitive Lt. Karl Hagerman, who cannot stomach that he is now working side by side with the man who killed his ...",A psychotic criminal tries to juggle the demands of violence and an active social life.
Bunheads,74,7.6,https://www.imdb.com/title/tt2006848/?ref_=adv_li_tt,"['Lamar Damon', 'Amy Sherman-Palladino', 'Sutton Foster', 'Kaitlyn Jenkins', 'Julia Goldani Telles']","['Official site', 'USA', 'English', 'Hermosa Beach, California, USA', 'ABC Family', 'Stereo', 'Color']",1,7.6,7478.0,"['showgirl', 'mother in law', 'las vegas', 'ballerina', 'working woman', 'comedy', 'drama']",44 min,"Michelle is a Las Vegas showgirl who would like to return to her true love - dancing. After a tumultuous experience at an audition for the musical Chicago, Michelle accepts a marriage proposal from an admirer. On impulse Michelle and Hubble get married and she relocates to a small town where she learns she will be sharing a house with her mother-in-law Fanny. Little to Michelle's knowledge, Fanny owns a dance studio in the back of the property and Michelle sees all these young ballerinas striving to reach their dreams. After an unexpected tragedy, Michelle's entire world will change.","Michelle, a Las Vegas showgirl marries a man on a whim and moves to his sleepy coastal town where she winds up working alongside her new mother-in-law at her dance school."
Buffy the Vampire Slayer,80,8.2,https://www.imdb.com/title/tt0118276/?ref_=adv_li_tt,"['Joss Whedon', 'Sarah Michelle Gellar', 'Nicholas Brendon', 'Alyson Hannigan']","['Hulu', 'USA', 'English', '1313 Cota Drive, Torrance, California, USA', 'Mutant Enemy', 'Dolby', 'Color']",7,8.2,118384.0,"['vampire', 'destiny', 'coming of age', 'double life', 'action heroine', 'action', 'drama', 'fantasy', 'romance']",44 min,"""In every generation there is a chosen one... she alone will stand against the vampires, the demons and the forces of darkness. She is the slayer."" Buffy Summers knows this tale by heart, and no matter how hard she tries to be just a ""normal girl"", she can not escape from her destiny... Thankfully, she is not alone in her quest to save the world, as she has the help of her friends, the hilarious (and surprisingly quite effective) evil-fighting team called ""The Scooby Gang"". Together, Buffy & co. will slay their demons, survive one apocalypse after another, attend high school and college... and above all, understand that growing up can truly be Hell sometimes... literally.","A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
Burden of Truth,69,4.0,https://www.imdb.com/title/tt6987476/?ref_=adv_li_tt,"['Brad Simpson', 'Peter Mooney', 'Kristin Kreuk', 'Sara Thompson']","['CBC page', 'Canada', 'English', 'Selkirk, Manitoba, Canada', 'ICF Films', 'Stereo', 'Color']",2,7.2,1765.0,"['legal drama', 'canadian', 'drama']",60 min,Big city lawyer Joanna Hanley returns to her hometown to take the case of a group of girls suffering from a mysterious illness.,Big city lawyer Joanna Hanley returns to her hometown to take the case of a group of girls suffering from a mysterious illness.
Burning Love,0,0,https://www.imdb.com/title/tt2292621/?ref_=adv_li_tt,"['Michael Ian Black', 'June Diane Raphael', 'Ken Marino']","['Official site', 'USA', 'English', 'Abominable Pictures', 'Color']",3,7.9,3233.0,"['comedy', 'romance']",23 min,"A parody of reality dating shows in the vein of ""The Bachelor"" and ""The Bachelorette"".","A parody of reality dating shows in the vein of ""The Bachelor"" and ""The Bachelorette""."
Burn Notice,69,8.1,https://www.imdb.com/title/tt0810788/?ref_=adv_li_tt,"['Matt Nix', 'Jeffrey Donovan', 'Gabrielle Anwar', 'Bruce Campbell']","['Official site', 'USA', 'English', 'Miami, Florida, USA', 'Flying Glass of Milk Productions', 'Stereo', 'Color']",7,8.0,64708.0,"['narrated by character', 'spy', 'yogurt', 'ex boyfriend ex girlfriend relationship', 'ankle holster', 'action', 'crime', 'drama', 'mystery', 'thriller']",44 min,"Michael Westen, a seasoned U.S. spy, is suddenly ""burned"", i.e. discredited, without any form of procedure. He survives by doing impossible jobs for desperate people in Miami, where his mother lives. Michael is usually aided by his ex-girlfriend Fiona and trusted former FBI informer Sam.",A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.
Buzz Lightyear of Star Command,0,0,https://www.imdb.com/title/tt0260602/?ref_=adv_li_tt,"['Patrick Warburton', 'Stephen Furst', 'Nicole Sullivan']","['USA', 'English', 'Disney Television Animation', 'Stereo', 'Color']",2,6.7,2409.0,"['outer space', 'buzz lightyear character', 'henchman', 'commander', 'partner', 'animation', 'action', 'adventure', 'comedy', 'family', 'sci-fi']",30 min,"The further (animated) adventures of Buzz Lightyear of ""Toy Story"" and ""Toy Story 2."" Buzz, along with fellow Star Command Rangers Mira Nova, Booster, and XR, fight to keep the universe safe from the evil clutches of Emperor Zurg and his henchman, Warp Darkmatter.",The further adventures of Buzz Lightyear as a Space Ranger of Star Command and his comrades.
C.O.P.S.,0,0,https://www.imdb.com/title/tt0163438/?ref_=adv_li_tt,"['Ken Ryan', 'Zevi Wolmark', 'Len Carlson']","['USA', 'English', 'DIC Entertainment', 'Color']",1,7.2,1213.0,"['year 2020', '2020s', 'police', 'based on toy', 'futuristic', 'animation', 'action', 'crime', 'sci-fi']",30 min,"Set in the year 2020, The Central Organization of Police Specialists (C.O.P.S.) is a special group of policemen with cyborg enhancements that strengthen each member's particular talents. Their mission is to fight crime in the metropolis of Empire City, with their main enemy being crimelord 'The Big Boss' and his goons.",A team of specially enhanced policemen fights crime in the year 2020.
Butterfly,0,0,https://www.imdb.com/title/tt7703440/?ref_=adv_li_tt,"['Tony Marchant', 'Anna Friel', 'Sean McGinley', 'Millie Gibson']","['Company site', 'UK', 'English', 'Red Production Company', 'Stereo', 'Color']",1,6.5,1399.0,"['tv mini series', 'transgender', 'lgbt', 'overalls', 'drama']",60 min,"Butterfly is a heartfelt and sensitive drama about the complex relationship between separated parents, Vicky and Stephen, and their division in opinion over how to support their youngest child, Max. From a young age, Max has identified as a girl but has tried to suppress these feelings in an attempt to earn Stephen's approval. When Max's feelings become increasingly distressing, Stephen seizes the opportunity to return to live at the family home, hoping to encourage male bonding and prove himself to Vicky. What unfolds is the greatest challenge and test of love and understanding imaginable. The social transitioning of Max to Maxine is initially thwarted because of the clear division of opinion between Vicky and Stephen.",11-year-old Max identifies as a girl and wants to live her life as Maxine. Her estranged parents Vicky and Stephen attempt to work out how best to cope with and support this huge life decision.
C.B. Strike,59,6.1,https://www.imdb.com/title/tt4276618/?ref_=adv_li_tt,"['Tom Burke', 'Holliday Grainger', 'Kerr Logan']","['British Broadcasting Corporation [United Kingdom]', 'UK', 'English', 'BBC One', 'Stereo', 'Color']",3,7.9,6633.0,"['detective', 'private investigator', 'detective agency', 'murder investigation', 'based on novel', 'crime', 'drama', 'mystery', 'thriller']",60 min,War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted assistant Robin Ellacott.,War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted assistant Robin Ellacott.
Caged,0,0,https://www.imdb.com/title/tt3322314/?ref_=adv_li_tt,"['Cheo Hodari Coker', 'Mike Colter', 'Simone Missick', 'Theo Rossi']","['Official Facebook', 'USA', 'English', 'New York City, New York, USA', 'ABC Television Studio', 'Stereo', 'Color']",2,7.4,104831.0,"['black superhero', 'superhero', 'marvel cinematic universe', 'marvel comics', 'based on comic', 'action', 'crime', 'drama', 'sci-fi', 'thriller']",55 min,"After a sabotaged experiment leaves him with super strength and unbreakable skin, Luke Cage becomes a fugitive trying to rebuild his life in modern day Harlem, New York City. But he is soon pulled out of the shadows and must fight a battle for the heart of his city - forcing him to confront a past he had tried to bury.","When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city."
Call The Midwife,81,8.3,https://www.imdb.com/title/tt1983079/?ref_=adv_li_tt,"['Heidi Thomas', 'Vanessa Redgrave', 'Laura Main', 'Jenny Agutter']","['BBC - Official Site', 'UK', 'English', ""St. Joseph's Missionary College, Lawrence Street, Mill Hill, London, England, UK"", 'Neal Street Productions', 'Stereo', 'Color']",11,8.4,17542.0,"['1960s', 'nurse', 'east london', 'memoir', 'nun', 'drama', 'history']",60 min,"Based on the memoirs of Jennifer Worth; the story follows twenty-two year old Jenny, who in 1957 leaves her comfortable home to become a midwife in London's East End. She is surprised to find that she will be living in a convent: Nonnatus House. Working alongside fellow nurses and the medically-trained nuns, Jenny has her eyes opened to the harsh living conditions of the slums, but she also discovers the warm hearts and the bravery of the mothers. Even after Jenny leaves Nonnatus, she continues to chronicle the lives of the midwives who have become her family.",Chronicles the lives of a group of midwives living in East London in the late-1950s to mid-1960s.
Cagney & Lacey,0,0,https://www.imdb.com/title/tt0083395/?ref_=adv_li_tt,"['Barbara Avedon', 'Barbara Corday', 'Tyne Daly', 'Sharon Gless', 'Al Waxman']","['USA', 'English', 'Lacy Street Production Center - 2630 Lacy Street, Los Angeles, California, USA', 'CBS', 'Mono', 'Color']",7,6.8,2862.0,"['buddy', 'buddy cop', 'character names as series title', 'police', 'detective', 'crime', 'drama', 'mystery', 'thriller']",60 min,"Television police drama starring two female cops as partners. Their contrasting personalities (one is tough and the other sensitive) strengthen them as a team, allowing each a different perspective on both personal and professional situations.",Two female police detectives cooperate with each other both in their professions and in their personal lives.
Cake Boss,0,8.5,https://www.imdb.com/title/tt1444382/?ref_=adv_li_tt,"['Buddy Valastro', 'Mauro Castano', 'Danny Dragone']","['Official site', 'USA', 'English', ""Carlo's Bakery - 95 Washington St., Hoboken, New Jersey, USA"", 'High Noon Entertainment', 'Color']",9,6.7,2884.0,"['cake', 'theme party', 'bakery', 'modeling chocolate', 'italian pastry', 'family', 'reality-tv']",30 min,"The staff of Carlo's Bakery in Hoboken, New Jersey, led by Buddy Valastro, shows how it prepares elaborate themed cakes for various occasions. Each episode typically features the preparation of two cakes for events including receptions, charity events and theme parties as well as weddings and birthdays.","The staff of Carlo's Bakery in Hoboken, New Jersey, led by Buddy Valastro, shows how it prepares elaborate themed cakes for various occasions. Each episode typically features the "
Call Me Fitz,0,9.0,https://www.imdb.com/title/tt1558182/?ref_=adv_li_tt,"['Sheri Elwood', 'Jason Priestley', 'Peter MacNeill', 'Donavon Stinson']","['Official Facebook', 'Canada', 'English', 'New Minas, Nova Scotia, Canada', 'Amaze Film + Television', 'Color']",4,7.3,1371.0,"['car salesman', 'sex', 'dysfunctional family', 'dynamic duo', 'cult tv', 'comedy']",0,"A morally bankrupt car salesman is forced to become business partners with his inner conscience, an off-beat do gooder intent on healing Fitz's mangled psyche, one hilarious disaster at a time.","A morally bankrupt car salesman is forced to become business partners with his inner conscience, an off-beat do gooder intent on healing Fitz's mangled psyche, one hilarious disaster at a time."
