title,cast,details,num_seasons,user_rating,num_ratings,keywords,runtime,synopsis,plot
A Bit of Fry and Laurie,"['Stephen Fry', 'Hugh Laurie', 'Deborah Norton']","['UK', 'English', 'British Broadcasting Corporation (BBC)', 'Color']",4,8.3,8398.0,"['alternative comedy', 'social satire', 'singing', 'song', 'musician', 'comedy']",30 min,"As the title suggests, ""A Bit of Fry and Laurie"" is less of a specific format than a 'coat-hanger' for short sketches, starring the comical duo in various, recurring or unique roles: Stephen Fry, the sophisticated giant who usually plays the smug one, and comparatively small Hugh Laurie, usually playing the patsy.",Comedy sketches written and performed by renowned duo Stephen Fry and Hugh Laurie.
A Different World,"['Bill Cosby', 'Lisa Bonet', 'Kadeem Hardison', 'Jasmine Guy']","['USA', 'English', 'Universal Studios - 100 Universal City Plaza, Universal City, California, USA', 'Bill Cosby', 'Stereo', 'Color']",6,6.9,5007.0,"['sitcom', 'historically black college', 'african american', 'university', 'college', 'comedy']",30 min,A group of students at a historically Black university struggle to make it through college.,A group of students at a historically Black university struggle to make it through college.
A Discovery of Witches,"['Matthew Goode', 'Teresa Palmer', 'Valarie Pettiford']","['UK', 'English', 'University of Oxford, Oxford, Oxfordshire, England, UK', 'Bad Wolf', 'Color']",1,8.2,17330.0,"['witch', 'vampire', 'magic', 'propaganda', 'russophobia', 'drama', 'fantasy', 'romance']",60 min,"In a world where witches, vampires and daemons live discreetly among humans, Diana Bishop is the last in one long line of distinguished witches. Unwilling to embrace her heritage she has immersed herself in her career as a historian. Her particular interest is alchemy and she visits Oxford to research some of Elias Ashmole's papers. She requests Ashmole 782 and as soon as she receives it she knows there is something uncanny about it; when she opens it she is shocked. She learns that 782 has been presumed lost for a very long time and that each species of Creature desires it. She is besieged and threatened and knows that, to protect herself, she must uncover all the mysteries of 782. She encounters the enigmatic vampire, Matthew Clairmont, who offers to help her; their mutual attraction is immediate, undeniable and inexplicable because they both know that witches and vampires are not supposed to trust each other. Diana makes her choice and accepts Matthew's help. This precipitates them...","Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires."
A Gifted Man ,"['Susannah Grant', 'Patrick Wilson', 'Jennifer Ehle', 'Margo Martindale']","['USA', 'English', 'Silvercup Studios East, Long Island City, Queens, New York City, New York, USA', 'Baer Bones', 'Dolby Digital', 'Color']",2,7.1,7115.0,"['doctor', 'hospital', 'nurse', 'medicine', 'latex gloves', 'drama', 'fantasy']",0,"Michael Holt is a successful doctor who has a thriving practice. One day he runs into his ex-wife Anna, also a doctor. They spend some time together. He later learns that she died before he met her. He goes to her memorial and learns she was working in an inner-city clinic, and when he goes there, he can't help but assist. Before long, people from the clinic come to see him. He continues to see Anna, who tries to get him to do good. He decides to work at the clinic as well as at his practice.",Centers on an ultra-competitive surgeon whose life is changed forever when his ex-wife dies and begins teaching him what life is all about from the here-after.
A Haunting,"['Anthony D. Call', 'Kelley Davis', 'Scott Rollins']","['New Dominion Pictures', 'USA', 'English', 'Hampton Roads, Virginia, USA', 'New Dominion Pictures', 'Color']",10,8.0,2683.0,"['paranormal phenomena', 'horror host', 'male horror host', 'usa horror host', 'usa male horror host', 'documentary', 'drama', 'history', 'horror', 'mystery', 'talk-show', 'thriller']",0,"An American paranormal anthology previewing stories told by the victims. Victims tell their terrifing encounters with the paranormal. This show contains narrations, frightening reanactments, & religious content.","An American paranormal anthology previewing stories told by the victims. Victims tell their terrifing encounters with the paranormal. This show contains narrations, frightening reanactments, & religious content."
A Million Little Things,"['D.J. Nash', 'David Giuntoli', 'Romany Malco', 'Allison Miller']","['Disney ABC Press', 'USA', 'English', 'Vancouver, British Columbia, Canada', 'Fee-Fi-Fo Films', 'Stereo', 'Color']",2,7.9,5082.0,"['suicide', 'friendship', 'love', 'family problems', 'friend', 'comedy', 'drama', 'mystery', 'romance']",43 min,A group of friends become motivated to living fuller lives after the unexpected death of a close friend.,A group of friends become motivated to living fuller lives after the unexpected death of a close friend.
A Pup Named Scooby-Doo,"['Mark L. Taylor', 'Don Messick', 'Casey Kasem']","['Boomerang', 'USA', 'English', 'Hanna-Barbera Productions', 'Mono', 'Color']",4,6.8,4087.0,"['1980s', '1990s', 'child protagonist', 'child gang', 'kid gang', 'animation', 'comedy', 'family', 'mystery']",30 min,"A pre-teen version of Scooby Doo, with a pint-sized version of the title character.","A pre-teen version of Scooby Doo, with a pint-sized version of the title character."
A to Z,"['Ben Queen', 'Ben Feldman', 'Cristin Milioti', 'Henry Zebrowski']","['USA', 'English', 'Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA', 'BQ Productions', 'Stereo', 'Color']",1,6.7,5381.0,"['comedy', 'romance']",24 min,"A chronicle of Andrew and Zelda's relationship, which lasts for eight months, three weeks, five days, and one hour.","A chronicle of Andrew and Zelda's relationship, which lasts for eight months, three weeks, five days, and one hour."
A Touch of Frost,"['David Jason', 'Bruce Alexander', 'John Lyons']","['UK', 'English', 'Carlton Lanes Shopping Centre, Castleford, West Yorkshire, England, UK', 'ITV Productions', 'Dolby', 'Color']",15,7.9,5537.0,"['cop', 'police', 'unorthodox', 'gritty', '1990s', 'crime', 'drama', 'mystery']",105 min,"DI Frost is an old-school no-nonsense copper who believes in traditional policing methods. Assisted by several officers including the ever-able DS Toolan, Frost uses what he knows about the street to find solutions to complex crimes as a member of the Denton CID. His home life is complex as he cares for his wife until her death and then leads a quiet bachelor's life, with only the occasional attempt at a relationship with another woman. His daily nemesis however is the Station's commander, Supt. Mullett, who is constantly worrying about budgets, staffing levels and crime statistics. He doesn't appreciate DI Frost's rough and ready manner, which doesn't stop him from trotting him out - with his George Cross, Britain's highest civilian honour for gallantry - when it suits him.","DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized and disrespectful, he attracts trouble like a magnet."
A.P. Bio,"[""Michael Patrick O'Brien"", 'Jean Villepique', 'Jacob Houston', 'Allisyn Ashley Arm']","['USA', 'English', 'CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA', 'Broadway Video', 'Stereo', 'Color']",2,7.1,6738.0,"['school', 'high school', 'revenge', 'biology class', 'incompetent school principal', 'comedy']",21 min,"A former philosophy professor who takes a job teaching AP biology, uses his students to get back at the people in his life who have wronged him.","A former philosophy professor who takes a job teaching AP biology, uses his students to get back at the people in his life who have wronged him."
Absentia,"['Matthew Cirulnick', 'Gaia Violo', 'Patrick McAuley', 'Stana Katic', 'Patrick Heusinger']","['Official Facebook', 'Israel', 'English', 'Sofia, Bulgaria', 'Masha Productions', 'Stereo', 'Color']",2,7.3,7308.0,"['slasher', 'exploitation', 'crime', 'drama', 'mystery', 'thriller']",60 min,"She disappeared. No one heard from her for six years. No one knows what happened to her, not even her. An FBI Agent tracking a Boston serial killer vanishes, and is declared dead. Six years later, she is found in a cabin in the woods, with no memory of what happened during the time she went missing. She comes back to a husband who has remarried, and whose wife is raising her son. She will have to navigate in her new reality, and she will soon find herself implicated in a new series of murders.","After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders."
Accidentally on Purpose,"['Claudia Lonow', 'Jenna Elfman', 'Jon Foster', 'Ashley Jensen']","['CBS [United States]', 'USA', 'English', 'BermanBraun', 'Stereo', 'Color']",1,6.3,6237.0,"['comedy', 'romance']",22 min,"Billie, a woman in her 30's, wants to settle down and have a family. When she tells her boyfriend James this, he tells her he doesn't want that, so they break up. She gets drunk and hooks up with a guy named Zack. Upon discovering that she's pregnant, he moves in to try and help her.","Billie, a woman in her 30's, wants to settle down and have a family. When she tells her boyfriend James this, he tells her he doesn't want that, so they break up. She gets drunk and hooks "
According to Jim,"['Tracy Newman', 'Jonathan Stark', 'Jim Belushi', 'Courtney Thorne-Smith', 'Larry Joe Campbell']","['ABC [United States]', 'USA', 'English', 'CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA', 'Newman/Stark', 'Dolby Digital', 'Color']",8,6.4,32215.0,"['21th century', '2000s', 'suburb', 'sports fan', 'parenting', 'comedy', 'romance']",30 min,"A television show centered around a macho everyman, his loving wife, and their three precocious children.","A television show centered around a macho everyman, his loving wife, and their three precocious children."
Ace of Cakes,"['Erica Reid Harrison', 'Duff Goldman', 'Geoffry Manthorne']","['Food Network', 'USA', 'English', 'Baltimore, Maryland, USA', 'Authentic Entertainment', 'Color']",10,7.2,1157.0,"['cake', 'chef', 'baltimore maryland', 'food', 'fondant', 'reality-tv']",21 min,"Chef and owner of Charm City Cakes in Baltimore, Maryland, Duff Goldman, and his crew of decorators attempt to create amazing and awe-inspiring cakes for their clients each week.","Chef and owner of Charm City Cakes in Baltimore, Maryland, Duff Goldman, and his crew of decorators attempt to create amazing and awe-inspiring cakes for their clients each week."
Adventure Time,"['Pendleton Ward', 'John DiMaggio', 'Jeremy Shada', 'Tom Kenny']","['Hulu', 'USA', 'English', 'Frederator Studios', 'Stereo', 'Color']",10,8.6,65559.0,"['cult tv', 'boy', 'dog', 'human', 'castle', 'animation', 'action', 'adventure', 'comedy', 'family', 'fantasy', 'sci-fi']",11 min,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other.","A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other."
After Life,"['Ricky Gervais', 'Tom Basden', 'Tony Way']","['Official Netflix', 'UK', 'English', 'Stereo', 'Color']",2,8.5,35428.0,"['comedy', 'drama']",30 min,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude taking his old world by storm.","After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude taking his old world by storm."
Afterlife,"['Stephen Volk', 'Lesley Sharp', 'Andrew Lincoln', 'Kate Duchêne']","['ITV [UK]', 'UK', 'English', 'Bristol, England, UK', 'Clerkenwell Films', 'Stereo', 'Color']",2,7.9,1772.0,"['supernatural power', 'psychic', 'drama', 'horror', 'mystery', 'thriller']",47 min,University lecturer Robert Bridge (Andrew Lincoln) becomes involved in a series of supernatural events surrounding medium Alison Mundy (Lesley Sharp) in this chilling TV series.,University lecturer Robert Bridge (Andrew Lincoln) becomes involved in a series of supernatural events surrounding medium Alison Mundy (Lesley Sharp) in this chilling TV series.
Agatha Christie's Marple,"['Geraldine McEwan', 'Julia McKenzie', 'Stephen Churchett']","['UK', 'English', 'Eastbourne, East Sussex, England, UK', 'Chorion', 'Stereo', 'Color']",6,7.8,4677.0,"['three word series title', 'surname in series title', 'author name in series title', 'murder', 'village', 'crime', 'drama', 'mystery']",93 min,"Based on Dame Agatha Christie's crime novels and short stories, the show follows the adventures of Miss Jane Marple, an elderly spinster living in the quiet little village of St Mary Mead. During her many visits to friends and relatives in other villages, Miss Marple often stumbles upon mysterious murders which she helps solve. Although the police are sometimes reluctant to accept Miss Marple's help, her reputation and unparalleled powers of observation eventually win them over.","An elderly spinster living in the village of St. Mary Mead, helps her friends and relatives solve mysterious murders."
Agent X,"['W. Blake Herron', 'Sharon Stone', 'Gerald McRaney', 'Jeff Hephner']","['USA', 'English', 'Vancouver, British Columbia, Canada', 'Beacon Pictures', 'Stereo', 'Color']",1,6.2,3892.0,"['action', 'drama']",60 min,"Hidden from the view of the public - and even from the President - there is a top secret agent who is trained and ready to serve, deployed only at the careful discretion of the Vice President.","Hidden from the view of the public - and even from the President - there is a top secret agent who is trained and ready to serve, deployed only at the careful discretion of the Vice President."
Air Emergency,"['Bernard Vaillot', 'Andre Barro', 'Greg Gransden', 'Stephen Bogaert', 'Jonathan Aris', 'Gregory Feith']","['Canada', 'English', 'Toronto, Ontario, Canada', 'Cineflix Productions', 'Color']",20,8.9,3075.0,"['reenactment', 'documentary', 'drama', 'history', 'reality-tv']",0,"Major real-life air disasters are depicted in this TV series. Each episode features a detailed dramatized reconstruction of the incident based on cockpit voice recorders and air traffic control transcripts, as well as eyewitnesses recounts and interviews with aviation experts. Sometimes, interviews with investigators who dealt with the disaster or even actual footage are featured.","Dramatized reconstruction of real-life air disasters, along with interviews with aviation experts and eyewitnesses."
Air Gear,"['Oh! Great', 'Kenta Kamakari', 'Mariya Ise', 'Chris Patton']","['Official site [Japan]', 'USA', 'English', 'Marvelous Entertainment', 'Color']",1,7.3,1009.0,"['older actors younger roles', 'orphan', 'gang', 'roller skating', 'roller skate', 'animation', 'action', 'comedy', 'sport']",25 min,"A couple of orphans form a gang called Storm Riders and try to become top dogs in the competitive world of professional and street sport that involves Air Treks, futuristic motorized rollerblades that can achieve super speed.","A couple of orphans form a gang called Storm Riders and try to become top dogs in the competitive world of professional and street sport that involves Air Treks, futuristic motorized rollerblades that can achieve super speed."
Airwolf,"['Donald P. Bellisario', 'Jan-Michael Vincent', 'Alex Cord', 'Ernest Borgnine']","['Official soundtrack site', 'USA', 'English', 'Monument Valley, Arizona, USA', 'Belisarius Productions', 'Mono', 'Color']",3,6.8,8609.0,"['female gunfighter', 'vietnam war veteran', 'helicopter', 'cult tv', 'action hero', 'action', 'adventure', 'sci-fi']",60 min,"Airwolf is the most sophisticated helicopter imaginable (flies halfway round the world, outruns jet planes). Stringfellow Hawke is its pilot, essentially blackmailing a secret US agency into finding his brother (lost in Vietnam) while he flies dangerous assignments for ""The Firm.""","As part of a deal with an intelligence agency to look for his missing brother, a renegade pilot goes on missions with an advanced battle helicopter."
Aladdin,"['Scott Weinger', 'Linda Larkin', 'Dan Castellaneta']","['USA', 'English', 'Walt Disney Television', 'Stereo', 'Color']",3,7.3,7431.0,"['princess', 'aladdin', 'hero', 'monkey', 'parrot', 'animation', 'adventure', 'comedy', 'family', 'fantasy', 'romance']",30 min,"While Aladdin may still be living on the streets of Agrabah, he is now engaged to the beautiful and spirited Princess Jasmine. ""Al"" and Jasmine, along with monkey sidekick Abu, the Magic Carpet, the fast-talking, shape-shifting Genie, and Iago the short-tempered parrot continue their adventures exploring the world and protecting Agrabah.","Aladdin, the clever hero of Agrabah, continues his adventures with the help of his fiancee Princess Jasmine, his pet monkey Abu, Magic Carpet, Iago the greedy parrot, and of course his best friend the semi-cosmic Genie."
Alcatraz,"['Steven Lilien', 'Elizabeth Sarnoff', 'Bryan Wynbrandt', 'Sarah Jones', 'Jorge Garcia', 'Jonny Coyne']","['USA', 'English', 'North Shore Studios, North Vancouver, British Columbia, Canada', 'Bonanza Productions', 'Dolby Digital', 'Color']",1,7.0,37457.0,"['alcatraz', 'prison', 'latex gloves', 'prison island', 'san francisco california', 'action', 'crime', 'drama', 'mystery', 'thriller']",60 min,"Switching between eras, Alcatraz focuses on the Alcatraz prison, which was shut down in 1963 due to unsafe conditions for its prisoners and guards. The show's premise is that both the prisoners and the guards disappeared in 1963 and have abruptly reappeared in modern-day San Francisco, where they are being tracked down by a government agency.","In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them."
"Alex, Inc.","['Matt Tarses', 'Zach Braff', 'Tiya Sircar', 'Hillary Anne Matthews']","['Official site', 'USA', 'English', 'New York, USA', 'Two Soups Productions', 'Stereo', 'Color']",1,5.7,1683.0,['comedy'],30 min,"Alex, who is in his mid-30s with a wife and two kids, makes the crazy decision to quit his good job and dive into the brave new world of starting a business.","Alex, who is in his mid-30s with a wife and two kids, makes the crazy decision to quit his good job and dive into the brave new world of starting a business."
Alexa & Katie,"['Heather Wordham', 'Paris Berelc', 'Isabel May', 'Jolie Jenkins']","['Official site', 'USA', 'English', 'Stereo', 'Color']",3,7.3,1591.0,['comedy'],25 min,"When Alexa and Katie graduate middle school and go to high school, they're ready for anything. But when Alexa is diagnosed with cancer, it becomes a little bit harder. But with each other's help, they can navigate high school and survive in the process.",Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.
ALF,"['Tom Patchett', 'Paul Fusco', ""Mihaly 'Michu' Meszaros"", 'Paul Fusco', 'Max Wright']","['USA', 'English', '708 Moreno Avenue, Brentwood, Los Angeles, California, USA', 'Alien Productions', 'Mono', 'Color']",4,7.4,28445.0,"['alien', '1990s', '1980s', 'fish out of water', 'outer space', 'comedy', 'family', 'sci-fi']",25 min,"The Tanner family is an average American family. One day, they discover that they have a visitor. He's small, he's furry, he's arrogant, and he's an alien from the planet Melmac. Unsure what to do, they name him ALF: Alien Life Form. Alf soon decides that as much as he misses his home planet, there's a lot to be said for Earth: the Tanners are willing to concede anything as long as he doesn't announce his presence. Oh yeah, the Tanners also have a cat, which looks rather tasty...",A furry alien wiseguy comes to live with the Tanner family after crashing into their garage.
Alfred Hitchcock Presents,"['Alfred Hitchcock', 'Harry Tyler', 'John Williams']","['USA', 'English', 'Universal Studios - 100 Universal City Plaza, Universal City, California, USA', 'Alfred J. Hitchcock Productions', 'Mono', 'Black and White']",7,8.6,12989.0,"['death', 'black comedy', 'horror host', 'male horror host', 'usa horror host', 'crime', 'drama', 'mystery', 'thriller']",25 min,"Master of Suspense Sir Alfred Hitchcock presents several short stories. The stories are invariably surprising, often containing elements of horror, comedy, and mystery.","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not."
Alfred J. Kwak,"['Ryan van den Akker', 'Frits Lambrechts', 'Herman van Veen']","['Netherlands', 'Dutch', 'Telecable Benelux B.V.', 'Dolby Stereo', 'Color']",2,7.9,2061.0,"['duck', 'acid rain', 'dragon', 'cowboy', 'bees', 'animation', 'family']",25 min,"Alfred J. Kwak is the son of Johan Sebastian and Anna Kwak. When their beloved home is disturbed by the development of a new theme park, his parents are forced to move (along with all of their children). When the family is on their way to the farm of an uncle of a very good friend, Henk de Mol, Alfred's parents and all of his siblings are the victims of a tragic car accident. Henk de Mol takes upon him the task of raising the little duck as he was his own son. In the years to come, Alfred experiences a lot of adventures.","After a horrific car accident takes the life of his parents and siblings, a young duckling is raised by his considerate uncle."
Alias,"['J.J. Abrams', 'Jennifer Garner', 'Ron Rifkin', 'Carl Lumbly']","['USA', 'English', 'U.S. Bank Tower - 633 W. Fifth Street, Downtown, Los Angeles, California, USA', 'Touchstone Television', 'Dolby Digital', 'Color']",5,7.6,42167.0,"['cia', 'double agent', 'terrorist', 'college', 'terrorist group', 'action', 'drama', 'mystery', 'sci-fi', 'thriller']",42 min,"Sydney Bristow is a young, athletic, college graduate who was recruited her freshman year as a Secret Agent for SD-6, a top-secret branch of the C.I.A. After a few years, after Sydney confides her lifestyle to her boyfriend, the evil head of SD-6, Arvin Sloan, has him killed. Sydney learns that SD-6 is part of a rogue international agency called the Alliance of 12, out to rule the world. She becomes a double agent, working with the real C.I.A. to bring down SD-6 with the assistance of her handler, Michael Vaughn, and her estranged father Jack Bristow, also a double agent. Along the way, Sydney fights various rival agents, rival terrorist groups, and traitors all the while keeping her cloak-and-dagger lifestyle a secret from her friends. (Season 1)","Sydney Bristow is an international spy recruited out of college, trained for espionage and self-defense."
Alias Smith and Jones,"['Glen A. Larson', 'Ben Murphy', 'Roger Davis', 'Pete Duel']","['USA', 'English', 'Apacheland Studios - 4369 S. Kings Ranch Road, Gold Canyon, Arizona, USA', 'Universal Television', 'Mono', 'Color']",3,7.7,1435.0,"['tombstone arizona', 'character names in series title', 'four word series title', 'star died during filming', 'wild west', 'western']",60 min,"Hannibal Heyes and Kid Curry, two of the most wanted outlaws in the history of the West, are popular ""with everyone except the railroads and the banks"", since ""in all the trains and banks they robbed, they never shot anyone"". They are offered an amnesty on condition that they stay out of trouble for a year and that they don't tell anyone about it. With a view to keeping their noses clean they adopt the identities of Smith and Jones and use all of their ingenuity keeping out of the way of the law.","Hannibal Heyes and Kid Curry, two of the most wanted outlaws in the history of the West, are popular ""with everyone except the railroads and the banks""."
Aliens in America,"['David Guarascio', 'Moses Port', 'Dan Byrd', 'Adhir Kalyan', 'Amy Pietz']","['USA', 'English', 'H.J. Cambie Secondary School, Richmond, British Columbia, Canada', 'CBS Paramount Network Television', 'Stereo', 'Color']",1,7.6,3401.0,"['territory name in title', 'country name in title', 'outcast', 'high school', 'friendship between boys', 'comedy']",30 min,A young Muslim student from Pakistan is sent to live with a Christian family in Wisconsin as part of a foreign exchange program.,A young Muslim student from Pakistan is sent to live with a Christian family in Wisconsin as part of a foreign exchange program.
All American,"['April Blair', 'Daniel Ezra', 'Bre-Z', 'Greta Onieogou']","['Instagram', 'USA', 'English', 'Los Angeles, California, USA', 'Berlanti Productions', 'Stereo', 'Color']",2,7.5,2541.0,"['alliteration in title', 'male objectification', 'rugby', 'rugby player', 'rugby team', 'drama', 'sport']",45 min,"The story of a high school football player called Spencer, how he goes from being in a not so save situation to the fancy in Beverly Hills. A story about him and the people around him, his mom, brother, Coach Billy Baker, Jordan, Olivia, Asher and others.","When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide."
All Creatures Great and Small,"['Christopher Timothy', 'Robert Hardy', 'Peter Davison']","['UK', 'English', 'Pebble Mill Studios, Birmingham, West Midlands, England, UK', 'British Broadcasting Corporation (BBC)', 'Mono', 'Color']",7,8.3,1996.0,"['1940s', 'yorkshire england', 'pet', 'medical practice', 'veterinary surgeon', 'comedy', 'drama']",50 min,"James Herriot is a vet in Yorkshire, England, during the late 1930s and 1940's. He gets a job at the practice of Siegfried Farnon, who (together with his mischievous brother Tristan) already have a successful business. James undergoes a variety of adventures during his work, which are just as often caused by the characters of the county (including the Farnon brothers) as the animals in his care.",The trials and misadventures of the staff of a country veterinary office in 1940's Yorkshire.
All Hail King Julien,"['Danny Jacobs', 'Andy Richter', 'Kevin Michael Richardson']","['USA', 'English', 'DreamWorks Animation Television', 'Color']",5,7.3,1184.0,"['animation', 'comedy', 'family']",23 min,"King Julien is here to party, and no one can stop him from ruling with an iron fist... in the air, wavin' like he just doesn't care! ALL HAIL KING JULIEN brings the wild world of Madagascar to a totally original, totally hilarious and totally insane television series in which the king takes on the craziest adventures the jungle has to offer. A new cast of fantastic, colorful characters joins King Julien himself, along with his second-in-command, Maurice, and his longtime devotee, Mort. It's a riot of color - not to mention a laugh riot - when viewers ALL HAIL KING JULIEN!",Animated misadventures of a hard-partying lemur and his wild friends in Madagascar.
All in the Family,"['Norman Lear', ""Carroll O'Connor"", 'Jean Stapleton', 'Rob Reiner']","['USA', 'English', 'Metromedia Square - 5746 Sunset Boulevard, Hollywood, Los Angeles, California, USA', 'Tandem Productions', 'Mono', 'Color']",9,8.3,12648.0,"['based on british tv series', 'working class', 'groundbreaking', 'topical humor', 'queens new york city', 'comedy', 'drama']",30 min,"Archie Bunker, was a bigoted working-class family man who held his views of the world. His viewpoints clash with nearly everyone he comes into contact with especially his son-in-law Mike Stivic (or, as Archie delights in calling him, ""Meathead"").",A working class man constantly squabbles with his family over the important issues of the day.
All My Children,"['Agnes Nixon', 'Len Carter', 'Cameron Mathison', 'Susan Lucci']","['ABC [United States]', 'USA', 'English', 'ABC Studios, Manhattan, New York City, New York, USA', 'American Broadcasting Company (ABC)', 'Mono', 'Color']",37,6.7,2301.0,"['tragic event', 'pregnancy', 'faked pregnancy', 'shipper', 'wedding', 'drama', 'romance', 'mystery']",0,"Set in the fictional East Coast suburb Pine Valley, All My Children is the decades-old, risk-taking soap that centers around Erica Kane and her long line of husbands.","Set in the fictional East Coast suburb Pine Valley, All My Children is the decades-old, risk-taking soap that centers around Erica Kane and her long line of husbands."
All of Us,"['Will Smith', 'Betsy Borns', 'Jada Pinkett Smith', 'Duane Martin', 'LisaRaye McCoy', 'Khamani Griffin']","['The CW', 'USA', 'English', 'Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA', 'Overbrook Entertainment', 'Stereo', 'Color']",4,6.1,1185.0,"['reporter', 'divorce', 'three word title', 'sitcom', 'comedy']",0,"All of Us is inspired by the domestic adventures of entertainment superstars Will Smith and Jada Pinkett-Smith and reflects a new generation's enlightened attitude toward the extended family dynamic with humor, sensitivity and heart. Robert James, an entertainment reporter for a local Los Angeles television station whose best friend is also his publicist, the three-time divorced Dirk. Robert is handsome, smart and a thoroughly modern man in his thinking, as he should be, considering his romantic and parental entanglements. On the verge of finalizing his divorce from the somewhat self-absorbed Neesee, the mother of their endearing five-year-old son, Bobby, Jr., he is madly in love with Tia, a funny, clever kindergarten teacher. This humorous and heartwarming comedy is a fresh, timely look at many young parents' new, compassionate attitude toward how divorced parents raise their children together.",The estranged wife of a television reporter returns to invade his new life.
Allen Gregory,"['Jonah Hill', 'Andrew Mogel', 'Jarrad Paul', 'Jonah Hill', 'Nat Faxon', 'Will Forte']","['USA', 'English', 'JHF', 'Dolby', 'Color']",1,4.3,3074.0,"['character name as series title', 'two word series title', 'seven year old', 'school', 'janitor', 'animation', 'comedy']",22 min,A super smart seven-year-old attempts to attend regular grade school.,A super smart seven-year-old attempts to attend regular grade school.
Ally McBeal,"['David E. Kelley', 'Calista Flockhart', 'Greg Germann', 'Jane Krakowski']","['Fox [United States]', 'USA', 'English', 'Boston, Massachusetts, USA', '20th Century Fox Television', 'Dolby', 'Color']",5,6.8,27754.0,"['f rated', 'character name as series title', 'law', 'love', 'lawyer', 'comedy', 'drama', 'fantasy', 'music', 'romance']",45 min,"Ally McBeal and Billy Thomas were going steady throughout their childhoods. Ally even followed Billy to Harvard law school despite having no interest in law. But when Billy chose to pursue a career in law away from Ally, their relationship came to an end. In the present, an old classmate of Ally's named Richard Fish gives Ally a job at his law firm, where Billy and his new wife are also working. This puts Ally in a predicament since she still has feelings for Billy which she's laboring to get over. At the office, Ally puts up with a nosy, gossiping secretary named Elaine, and an oddball lawyer named John Cage never seems to lose a case. At home, Ally's friend and house-mate Renée regularly advises her on her love life. The series follows Ally's trials and tribulations in life through her eyes, and caricaturizes her personal thoughts and fantasies.",Follows the personal and professional life of lawyer Ally.
Almost Human,"['J.H. Wyman', 'Karl Urban', 'Michael Ealy', 'Minka Kelly']","['Official Facebook', 'USA', 'English', 'Vancouver, British Columbia, Canada', 'Frequency Films', 'Stereo', 'Color']",1,8.0,45456.0,"['human android relationship', 'police partner', 'buddy cop', 'future', 'android', 'action', 'crime', 'drama', 'sci-fi']",60 min,"Is friendship between a human and an android even possible? When a police detective John Kennex gets a new partner, an android of a DRN model or Dorian, he never thought it was possible to become a friend with a human-like walking machine. Could he be wrong?","In a not-so-distant future, a human cop and an android partner up to protect and serve."
Alone Together,"['Benji Aflalo', 'Esther Povitsky', 'Eben Russell', '3 more credits', 'Esther Povitsky', 'Benji Aflalo', 'Edgar Blackmon']","['Official site', 'USA', 'English', 'The Lonely Island', 'Color']",2,6.3,1334.0,"['buddy comedy', 'platonic friendship', 'platonic relationship', 'misfit', 'female misfit', 'comedy']",30 min,"Two not-so-young, socially awkward Millennials, rich, self-conscious and unmotivated Benji and his poor, freeloading, self-centered and strictly platonic best friend, Esther, try to fit in with L.A.'s vain and status-obsessed elite.","Two not-so-young, socially awkward Millennials, rich, self-conscious and unmotivated Benji and his poor, freeloading, self-centered and strictly platonic best friend, Esther, try to fit in with L.A.'s vain and status-obsessed elite."
Alpha House,"['Garry Trudeau', 'John Goodman', 'Clark Johnson', 'Matt Malloy']","['USA', 'English', 'Sid Kibbitz Productions', 'Color']",2,7.5,3981.0,"['comedy', 'drama']",25 min,"Four Republican senators share the same D.C. house rental, and face re-election battles, looming indictments, and parties -- all with a sense of humor.","Four Republican senators share the same D.C. house rental, and face re-election battles, looming indictments, and parties -- all with a sense of humor."
