title,cast,details,num_seasons,user_rating,num_ratings,keywords,runtime,synopsis,plot
No Ordinary Family,"['Greg Berlanti', 'Jon Harmon Feldman', 'Michael Chiklis', 'Julie Benz', 'Kay Panabaker']","['ABC [United States]', 'USA', 'English', 'Berlanti Television', 'Stereo', 'Color']",1,6.9,15703.0,"['non comic book superhero', 'montage', 'research facility', 'airplane in water', 'police station', 'action', 'comedy', 'drama', 'sci-fi']",0,"The Powells are a typical American family living in Pacific Bay, California, whose members gain special powers after their plane crashes in the Amazon.","The Powells are a typical American family living in Pacific Bay, California, whose members gain special powers after their plane crashes in the Amazon."
No Tomorrow,"['Corinne Brinkerhoff', 'Scott McCabe', 'Tory Stanton', 'Joshua Sasse', 'Tori Anderson', 'Jonathan Langdon']","['USA', 'English', 'Vancouver, British Columbia, Canada', 'Electus', 'Dolby Digital', 'Color']",1,7.3,4362.0,"['apocalypse', 'heartache', 'optimism', 'co worker', 'friend from work', 'comedy', 'drama', 'romance']",43 min,"Evie, a risk-averse quality-control assessor falls for free-spirited thrill seeker Xavier only to find out he lives his life that way because he believes the apocalypse is coming.","Evie, a risk-averse quality-control assessor falls for free-spirited thrill seeker Xavier only to find out he lives his life that way because he believes the apocalypse is coming."
Noah's Arc,"['Darryl Stephens', 'Rodney Chester', 'Christian Vincent']","['Official site', 'USA', 'English', 'Los Angeles, California, USA', 'Open Door Productions', 'Color']",2,6.7,1017.0,"['character name in series title', 'two word series title', 'oral sex', 'anal sex', 'gay kiss', 'comedy', 'drama', 'romance']",0,"Explore the daily lives of Noah, Alex, Ricky, and Chance, four African-American gay men in Los Angeles, through their relationships with their friends and lovers.","Explore the daily lives of Noah, Alex, Ricky, and Chance, four African-American gay men in Los Angeles, through their relationships with their friends and lovers."
Norm,"['Bruce Helford', 'Norm MacDonald', 'Norm MacDonald', 'Laurie Metcalf', 'Ian Gomez']","['ABC', 'USA', 'English', 'Stage 12, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA', 'Mohawk Productions', 'Stereo', 'Color']",3,7.9,1502.0,"['three word series title', 'actor name in series title', 'character name in series title', 'forename in series title', 'sitcom', 'comedy']",30 min,"Norm Henderson is an ex-hockey player who was banned from hockey for life for gambling and tax evasion. Now he must do five years of community service as a social worker, or go to prison. His co-workers are a collection of burn-outs, and basically inept losers, with one exception, Laurie, who ends up spending a lot of time trying to bail out Norm.","Norm Henderson is an ex-hockey player who was banned from hockey for life for gambling and tax evasion. Now he must do five years of community service as a social worker, or go to prison. "
Northern Exposure,"['Joshua Brand', 'John Falsey', 'Rob Morrow', 'Janine Turner', 'Barry Corbin']","['USA', 'English', 'Easton, Washington, USA', 'Cine-Nevada Productions', 'Dolby', 'Color']",6,8.3,13822.0,"['eccentric', 'offbeat', 'alaska', 'magical realism', 'small town', 'comedy', 'drama', 'fantasy']",60 min,"Joel Fleishman is fresh out of medical college, and fresh out of luck. Failing to read the fine print in his scholarship conditions, he finds he has no choice but to move to the remote and somewhat eccentric town of Cicely, in the wilds of Alaska. Once there, he is welcomed by the peculiar locals who are not keen to see him go, most especially Maurice Minnifield, the ex-NASA astronaut. Despite Joel's adamant denials, one gets the impression that he enjoys life in Cicely more than he admits.",A newly graduated doctor is required to set up his practice in an eccentric Alaskan town.
Not Going Out,"['Lee Mack', 'Sally Bretton', 'Katy Wix']","['UK', 'English', 'London, England, UK', 'Avalon Television', 'Dolby', 'Color']",10,7.7,5276.0,['comedy'],30 min,"The mishaps of slacker Lee, Lee's best mate Tim, Lee's long-suffering landlady and the love of Lee's life, Lucy, and Tim's well-meaning but dim-witted girlfriend Daisy.","The mishaps of slacker Lee, Lee's best mate Tim, Lee's long-suffering landlady and the love of Lee's life, Lucy, and Tim's well-meaning but dim-witted girlfriend Daisy."
Now and Again,"['Glenn Gordon Caron', 'Eric Close', 'Dennis Haysbert', 'Gerrit Graham']","['USA', 'English', 'Brooklyn, New York City, New York, USA', 'CBS Productions', 'Stereo', 'Color']",1,8.2,1396.0,"['adventure', 'comedy', 'drama', 'sci-fi']",45 min,"When Michael Wiseman is killed in a tragic subway accident, the U.S. government covertly makes him an offer he can't refuse; they ""keep his brain alive"" and place it into a new, genetically bio-engineered body. The doctor in charge of the experiment has grand plans for him, but all Michael wants is to get back to his grieving wife and daughter. For security reasons, the government forbids such contact... not that Michael is going to let that stop him.","When Michael Wiseman is killed in a tragic subway accident, the U.S. government covertly makes him an offer he can't refuse; they ""keep his brain alive"" and place it into a new, genetically"
Now Apocalypse,"['Gregg Araki', 'Avan Jogia', 'Kelli Berglund', 'Beau Mirchoff']","['Official Facebook', 'USA', 'English', '17155 Lisette Street, Granada Hills, California, USA', 'Starz!']",1,6.1,1702.0,"['gay sex', 'comedy']",30 min,"Ulysses and his friends Carly, Ford, and Severine are on various quests pursuing love, sex and fame in Los Angeles. Between sexual and romantic dating app adventures, Ulysses grows increasingly troubled as foreboding premonitory dreams make him wonder if some kind of dark and monstrous conspiracy going on...or is he just smoking too much weed?","While on quests to pursue love, sex, and fame with his friends in Los Angeles, Ulysses' premonitory dreams make him question the possible presence of a dark and monstrous conspiracy."
Numb3rs,"['Nicolas Falacci', 'Cheryl Heuton', 'Rob Morrow', 'David Krumholtz', 'Judd Hirsch']","['CBS [United States]', 'USA', 'English', '2515 4th Ave, Los Angeles, California, USA', 'The Barry Schindel Company', 'Dolby Digital', 'Color']",6,6.9,37118.0,"['21st century', 'intelligence', 'federal bureau of investigation', 'federal bureau of investigation agent', 'police officer', 'crime', 'drama', 'mystery', 'thriller']",43 min,"In the Los Angeles office of the Federal Bureau of Investigation, Special Agent Don Eppes and his team investigate critical and baffling crimes with a special edge. That advantage is Don's brother, Charles Eppes, a brilliant universalist mathematician who uses the science of mathematics with its complex equations to ferret out the most tricky criminals. With this team, the forces of evil learn their number is up.","Working for the F.B.I., a mathematician uses equations to help solve various crimes."
Nurse Jackie,"['Liz Brixius', 'Evan Dunsky', 'Linda Wallem', 'Edie Falco', 'Merritt Wever', 'Paul Schulze']","['USA', 'English', 'Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA', 'Showtime Networks', 'Dolby Digital', 'Color']",7,7.7,22740.0,"['new york city', 'hospital', 'nurse', 'woman', 'mother', 'comedy', 'drama']",0,A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas.,A drug-addicted nurse struggles to find a balance between the demands of her frenetic job at a New York City hospital and an array of personal dramas.
NYC 22,"['Richard Price', 'Adam Goldberg', 'Leelee Sobieski', 'Stark Sands']","['USA', 'English', 'New York City, New York, USA', 'Post 109', 'Stereo', 'Color']",1,6.6,1471.0,"['police', 'scolding', 'rascal', 'new york police department', 'police detective', 'crime', 'drama']",60 min,"Drama following six diverse NYPD rookies as they patrol the gritty streets of upper Manhattan. The new trainees include Jennifer ""White House"" Perry, a former college volleyball star and Marine MP in Iraq with a take-charge attitude; Ray ""Lazarus"" Harper, the oldest rookie and a former police news reporter with better sources than most seasoned cops; Tonya Sanchez, who comes from a family with a criminal history; Ahmad Kahn, an Afghani native who fought his way to freedom; Kenny McClaren, a fourth-generation police officer with great instincts but qualms about joining the force; and Jayson ""Jackpot"" Toney, a young basketball legend who squandered his opportunity in the NBA. Their demanding Field Training Officer, Daniel ""Yoda"" Dean, is a case-hardened, unsentimental veteran of the force who emphasizes basics and holds each cop accountable for their actions. Rounding out the team is Sergeant Terry Howard, a no-nonsense plainclothes officer from the Gang Intel Unit, who trains the ...",Six diverse NYPD rookies patrol the gritty streets of upper Manhattan.
